Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,1021.70,1035.65,997.60,1003.40,1021.264256887958265102,223506,7447,228258689.00,107007,47.88,38.05,-18.30
8-June-2021,1029.00,1029.00,1006.00,1020.05,1018.032786885245901639,102175,4340,104017500.00,19861,19.44,23.00,-8.95
7-June-2021,1020.00,1032.75,1010.00,1025.10,1021.882216117583365081,99742,3838,101924576.00,30108,30.19,22.75,5.10
4-June-2021,1012.00,1022.95,1004.00,1009.25,1006.479019094242916459,3901333,9765,3926609811.00,3710814,95.12,18.95,-2.75
3-June-2021,1035.00,1036.00,964.75,1005.85,1000.194965864797216489,774274,27196,774424957.00,129101,16.67,71.25,-29.15
2-June-2021,1010.05,1030.00,1001.25,1028.00,1019.973597701830243440,135064,4663,137761714.00,27552,20.40,28.75,17.95
1-June-2021,1015.00,1031.45,1006.20,1009.75,1017.068419417333771977,218856,8690,222591526.00,72580,33.16,25.25,-5.25
31-May-2021,1021.80,1021.80,1004.15,1013.45,1014.377031948959886577,81818,3174,82994300.00,12491,15.27,17.65,-8.35
28-May-2021,1016.00,1025.00,1003.20,1018.85,1013.302483964120518259,156524,5308,158606158.00,30411,19.43,21.80,2.85
27-May-2021,999.00,1012.35,987.00,1006.75,997.792925311879091886,153505,4293,153166203.00,18261,11.90,25.35,7.75
26-May-2021,995.85,1008.20,987.30,998.15,1000.877195173071949055,112121,3382,112219352.00,10284,9.17,20.90,2.30
25-May-2021,1007.00,1012.85,981.75,993.55,995.103186140892846326,264144,6177,262850536.00,33834,12.81,31.10,-13.45
24-May-2021,1012.35,1025.00,997.55,1004.05,1006.605431368926658045,297715,11311,299681536.00,78689,26.43,27.45,-8.30
21-May-2021,986.00,1020.00,980.00,1016.25,1008.062652952256648324,539384,14443,543732866.00,83201,15.43,40.00,30.25
20-May-2021,967.00,987.50,961.70,975.50,978.725058357261532014,338861,10071,331651752.00,148891,43.94,25.80,8.50
19-May-2021,973.00,978.75,959.70,967.10,968.856436006206588840,150163,4427,145486389.00,19069,12.70,19.05,-5.90
18-May-2021,965.00,986.70,965.00,974.50,977.671234321725341808,293878,8460,287316067.00,60217,20.49,21.70,9.50
17-May-2021,893.00,960.00,893.00,956.20,935.666712168848769311,915707,24934,856796558.00,422176,46.10,67.00,63.20
14-May-2021,922.00,923.80,888.20,891.40,903.381470469372438080,346420,14195,312949409.00,133706,38.60,35.60,-30.60
12-May-2021,949.00,950.00,914.00,917.25,928.502180229847327959,268091,9894,248923078.00,80540,30.04,36.00,-31.75
11-May-2021,928.45,956.95,923.50,949.05,943.799966623729485327,191753,4903,180976475.00,26423,13.78,33.45,20.60
10-May-2021,938.00,949.95,931.55,945.25,943.134590385917400135,147700,3978,139300979.00,42141,28.53,18.40,7.25
7-May-2021,926.00,951.45,923.00,925.60,938.399049801892173841,389182,11817,365208019.00,150051,38.56,28.45,-0.40
