Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,711.00,714.55,700.45,702.65,706.791685282291250264,85054,3664,60115460.00,35865,42.17,14.10,-8.35
8-June-2021,704.15,715.45,701.50,709.90,710.714089564074511905,272386,9916,193588568.00,109750,40.29,13.95,5.75
7-June-2021,688.00,706.50,687.15,700.00,700.200984500062685995,151549,5112,106114759.00,37992,25.07,19.35,12.00
4-June-2021,680.00,689.85,675.15,686.70,686.014013287680551461,88202,2782,60507808.00,23192,26.29,14.70,6.70
3-June-2021,675.15,683.00,673.30,679.85,678.601798628877739752,90291,3057,61271635.00,25786,28.56,9.70,4.70
2-June-2021,666.00,674.55,660.50,673.30,670.224379319444543502,140209,2993,93971490.00,63486,45.28,14.05,7.30
1-June-2021,664.95,667.00,657.00,665.55,663.533382511733324780,93537,2341,62064922.00,31770,33.97,10.00,0.60
31-May-2021,658.05,664.85,650.50,663.70,658.666094941552101749,113691,3242,74884407.00,35515,31.24,14.35,5.65
28-May-2021,651.80,657.50,646.25,654.80,653.806256805736018979,190097,7121,124286608.00,120761,63.53,11.25,3.00
27-May-2021,644.00,651.70,641.50,649.05,645.544906593764238755,76815,2512,49587532.00,17766,23.13,10.20,5.05
26-May-2021,652.00,655.00,640.65,641.70,645.918974065366483536,164182,5764,106048269.00,56766,34.58,14.35,-10.30
25-May-2021,642.00,652.45,642.00,650.15,647.061218815559992922,79126,2004,51199366.00,31294,39.55,10.45,8.15
24-May-2021,651.40,654.60,634.15,639.75,642.572392167208278872,500358,4154,321516237.00,352300,70.41,20.45,-11.65
21-May-2021,643.00,652.25,643.00,649.25,648.484962811253638029,74216,1897,48127960.00,23966,32.29,9.25,6.25
20-May-2021,659.00,659.00,640.15,644.55,646.449059040521934691,269459,5325,174191517.00,142783,52.99,18.85,-14.45
19-May-2021,653.20,660.80,650.00,654.40,654.236251770284262661,383413,5654,250842684.00,231455,60.37,10.80,1.20
18-May-2021,655.80,659.00,648.20,652.90,653.687347803500113640,246392,5081,161063333.00,115862,47.02,10.80,-2.90
17-May-2021,649.00,660.00,641.00,653.70,650.250649727380903047,168917,2973,109838389.00,67861,40.17,19.00,4.70
14-May-2021,647.55,649.25,638.20,645.05,644.990543137453221401,138418,2798,89278301.00,23378,16.89,11.05,-2.50
12-May-2021,643.00,646.50,630.00,639.70,638.624638721891524578,336998,7253,215215226.00,196107,58.19,16.50,-3.30
11-May-2021,629.50,649.90,626.30,641.85,642.310074613753762899,170746,3421,109671876.00,30532,17.88,23.60,12.35
10-May-2021,629.70,636.70,621.00,633.10,629.723451631136950904,495360,11014,311939809.00,200909,40.56,15.70,3.40
7-May-2021,635.00,641.90,614.25,629.00,624.608264802155985056,1037484,44590,648021081.00,297874,28.71,27.65,-6.00
6-May-2021,654.90,655.00,638.15,653.40,644.311168784202772917,376066,12085,242303524.00,186949,49.71,16.85,-1.50
5-May-2021,654.90,656.65,640.10,649.40,648.126068611886954233,117793,3005,76344714.00,20096,17.06,16.55,-5.50
4-May-2021,682.80,686.25,642.00,644.95,651.751936496136223652,651047,21391,424321143.00,301587,46.32,44.25,-37.85
3-May-2021,661.00,682.20,661.00,677.10,675.746931714101563825,147395,4291,99601719.00,60741,41.21,21.20,16.10
30-April-2021,671.90,678.25,664.95,671.80,672.066947159028117648,126682,1980,85138785.00,71269,56.26,13.30,-0.10
29-April-2021,678.00,680.00,666.20,671.55,671.992555598419367955,191822,5616,128902956.00,50501,26.33,13.80,-6.45
28-April-2021,675.00,692.55,675.00,677.30,682.683202221193891716,259320,5229,177033408.00,76822,29.62,17.55,2.30
27-April-2021,675.00,679.90,668.10,674.80,671.505154936482530893,208053,3051,139708662.00,141911,68.21,11.80,-0.20
26-April-2021,665.35,674.80,662.25,669.80,669.898408136192792394,63322,1433,42419307.00,23639,37.33,12.55,4.45
23-April-2021,665.50,675.55,660.75,664.45,668.449563947804095892,153422,4006,102554869.00,42365,27.61,14.80,-1.05
22-April-2021,677.00,679.00,663.50,665.55,669.028252647293104504,179523,3158,120105959.00,85822,47.81,15.50,-11.45
20-April-2021,672.00,698.05,670.50,679.40,683.314760638632378872,397537,6131,271642900.00,39542,9.95,27.55,7.40
19-April-2021,668.00,668.15,651.50,663.70,659.135317663761485980,101428,2533,66854777.00,23117,22.79,16.65,-4.30
16-April-2021,664.90,676.45,660.75,671.10,670.135945238156973578,115701,2500,77535399.00,22468,19.42,15.70,6.20
15-April-2021,664.70,674.00,644.75,659.30,656.502189319364935212,123326,2784,80963789.00,27494,22.29,29.25,-5.40
13-April-2021,654.00,677.95,654.00,663.35,665.732170724326377062,168529,5207,112195177.00,44401,26.35,23.95,9.35
