Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,1060.00,1064.60,1045.45,1051.90,1059.170434976276552165,502878,6982,532633510.00,336220,66.86,19.15,-8.10
8-June-2021,1040.00,1061.55,1037.30,1058.55,1055.105479169981561385,213682,7815,225457049.00,89960,42.10,24.25,18.55
7-June-2021,1020.05,1039.00,1020.00,1032.40,1027.643020806386045308,54118,2560,55613985.00,24928,46.06,19.00,12.35
4-June-2021,1025.00,1026.25,1011.10,1018.75,1020.526472635782942706,81877,2567,83557646.00,29029,35.45,15.15,-6.25
3-June-2021,1016.00,1020.75,1006.80,1013.90,1012.877030263444371870,45930,2463,46521442.00,12355,26.90,13.95,-2.10
2-June-2021,1030.00,1030.00,994.10,1016.90,1007.944293752948311880,118712,5652,119655083.00,20006,16.85,35.90,-13.10
1-June-2021,1021.20,1032.00,1013.35,1030.40,1024.440270894834564471,74863,4440,76692672.00,39566,52.85,18.65,9.20
31-May-2021,1022.00,1031.90,1013.05,1021.85,1022.829464215570743970,50916,2454,52078385.00,18667,36.66,18.85,-0.15
28-May-2021,1023.00,1032.90,1012.90,1026.15,1025.090541305930900558,61795,2513,63345470.00,21367,34.58,20.00,3.15
27-May-2021,1013.45,1031.90,1007.10,1019.60,1020.796799038619107445,256298,9522,261628178.00,150042,58.54,24.80,6.15
26-May-2021,995.00,1011.50,993.00,1007.45,1005.393405499564514122,120555,6031,121205202.00,72947,60.51,18.50,12.45
25-May-2021,986.30,1001.55,984.10,993.20,993.993135545100584036,98624,5136,98031579.00,46142,46.79,17.45,6.90
24-May-2021,981.55,993.80,977.95,984.35,987.172152743038185759,119940,4968,118401428.00,65898,54.94,15.85,2.80
21-May-2021,972.95,985.55,972.00,980.65,981.961479429247798545,153762,5502,150988361.00,98642,64.15,13.55,7.70
