Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,857.00,862.70,838.65,845.60,853.362006905653837437,150022,3792,128023075.00,12596,8.40,24.05,-11.40
8-June-2021,848.20,864.75,840.75,853.50,851.873280456066427066,145242,3668,123727779.00,15747,10.84,24.00,5.30
7-June-2021,838.00,862.00,834.10,850.35,852.900774406882723339,198991,5194,169719578.00,21862,10.99,27.90,12.35
4-June-2021,832.00,845.45,832.00,835.70,839.074866897195235742,72876,2372,61148420.00,8944,12.27,13.45,3.70
3-June-2021,842.05,863.05,828.00,840.05,836.068045532013381867,190108,5193,158943224.00,29203,15.36,35.05,-2.00
2-June-2021,821.60,840.45,810.85,837.40,828.100366523944921694,330947,8206,274057332.00,86221,26.05,29.60,15.80
1-June-2021,823.00,826.00,808.90,815.90,815.946086557489890154,174335,4234,142247961.00,24921,14.29,17.10,-7.10
31-May-2021,818.35,821.55,808.65,814.70,814.426814525061871396,157989,3903,128670478.00,19145,12.12,12.90,-3.65
28-May-2021,814.40,824.25,809.10,811.35,819.041052115026008440,764175,3164,625890696.00,643005,84.14,15.15,-3.05
27-May-2021,816.05,825.45,809.75,819.70,817.163118262094371309,276885,7558,226260210.00,48714,17.59,15.70,3.65
26-May-2021,797.00,815.70,791.85,812.30,809.916730231758828512,331681,7521,268633991.00,33309,10.04,23.85,15.30
25-May-2021,794.00,806.45,790.00,796.60,798.892385367792837845,394937,9483,315512162.00,85156,21.56,16.45,2.60
24-May-2021,784.00,793.90,774.25,789.50,783.548011258384344431,180843,4909,141699173.00,23020,12.73,19.65,5.50
21-May-2021,781.50,785.80,763.50,779.50,773.292233386162319255,265637,6154,205415029.00,22860,8.61,22.30,-2.00
20-May-2021,788.00,797.10,763.00,766.90,777.971756314673630709,356115,7766,277047412.00,37450,10.52,34.10,-21.10
19-May-2021,773.90,806.10,766.00,782.05,790.882492435105547959,721094,16579,570300620.00,81603,11.32,40.10,8.15
18-May-2021,777.95,779.40,759.20,769.10,768.086570676964470861,350107,8883,268912485.00,36030,10.29,20.20,-8.85
17-May-2021,754.90,785.00,753.75,770.55,774.322217023456632917,1350748,30696,1045914186.00,136812,10.13,31.25,15.65
14-May-2021,709.85,764.45,707.55,743.55,743.544615114215784346,2674105,52739,1988316373.00,145552,5.44,56.90,33.70
12-May-2021,687.00,702.15,680.75,691.60,690.360856990814650285,432210,8840,298380866.00,64784,14.99,21.40,4.60
11-May-2021,678.20,688.35,668.05,684.05,679.529461554317945088,548189,9527,372510576.00,49408,9.01,20.30,5.85
10-May-2021,634.80,680.00,634.80,674.40,661.056448981494429683,557778,10363,368722744.00,71767,12.87,45.20,39.60
7-May-2021,637.00,641.05,625.25,628.85,633.074029236060825488,176768,3920,111907230.00,34172,19.33,15.80,-8.15
6-May-2021,642.80,642.80,626.95,633.15,633.449208447365318141,161139,3053,102073372.00,21145,13.12,15.85,-9.65
5-May-2021,625.00,643.00,619.00,640.40,632.045424074274997287,516136,9973,326221397.00,117339,22.73,24.00,15.40
4-May-2021,618.05,645.60,608.00,611.80,629.389050535987748851,470160,8339,295913556.00,37399,7.95,37.60,-6.25
3-May-2021,603.10,619.50,596.50,617.60,609.104499306153567687,182317,3743,111050105.00,31351,17.20,23.00,14.50
30-April-2021,615.80,620.50,604.10,608.20,613.904824574230593006,102579,1994,62973743.00,19527,19.04,16.40,-7.60
29-April-2021,615.00,620.85,610.00,615.80,615.275277515432732449,146118,3042,89902793.00,15746,10.78,10.85,0.80
28-April-2021,602.00,613.50,602.00,607.95,608.769926300736992630,181820,4424,110686548.00,50812,27.95,11.50,5.95
27-April-2021,594.65,605.20,589.40,597.50,598.177603718916165186,125628,2403,75147856.00,13786,10.97,15.80,2.85
26-April-2021,587.50,597.75,585.95,590.50,591.632705264741778543,119626,2892,70774654.00,28316,23.67,11.80,3.00
23-April-2021,593.50,596.90,581.35,585.50,588.981090298027974101,101165,2100,59584272.00,22394,22.14,15.55,-8.00
22-April-2021,590.00,598.60,582.00,591.10,593.221072921621148021,199735,1735,118487011.00,14315,7.17,16.60,1.10
20-April-2021,608.65,610.95,586.00,591.55,599.919599332220367278,134775,3610,80854164.00,26348,19.55,24.95,-17.10
19-April-2021,609.00,609.00,587.15,597.75,596.509281424977684005,98584,2090,58806271.00,14380,14.59,21.85,-11.25
16-April-2021,615.55,618.55,602.10,611.55,612.193006910797806682,119089,2368,72905453.00,12389,10.40,16.45,-4.00
15-April-2021,607.30,623.85,597.40,607.30,608.681635908746175237,229426,4684,139647393.00,19450,8.48,26.45,0.00
13-April-2021,592.00,618.35,589.05,604.45,604.550944216672878618,482940,8626,291961833.00,44380,9.19,29.30,12.45
12-April-2021,625.00,626.65,581.70,590.05,600.459227481260497881,319112,8954,191613745.00,78365,24.56,44.95,-34.95
9-April-2021,658.00,658.00,631.00,634.90,640.076806067172264355,230750,4984,147697723.00,38175,16.54,27.00,-23.10
8-April-2021,654.30,664.50,649.95,651.65,655.093746705555750781,341484,2390,223704033.00,242676,71.07,14.55,-2.65
7-April-2021,662.75,673.85,652.90,653.95,656.612506791020908663,1432038,4625,940294061.00,1214103,84.78,20.95,-8.80
6-April-2021,642.55,668.95,642.55,661.15,658.834697397303229852,255120,4361,168081908.00,27050,10.60,26.40,18.60
5-April-2021,651.00,664.80,631.80,646.10,647.357088638821944323,421576,9313,272910212.00,70124,16.63,33.00,-4.90
1-April-2021,647.55,656.70,635.00,653.85,646.363785442647529654,384177,8151,248318100.00,68645,17.87,21.70,6.30
31-March-2021,625.00,653.90,619.60,642.20,642.171417269013622101,743204,15395,477264366.00,129517,17.43,34.30,17.20
30-March-2021,595.00,634.10,591.55,628.75,616.229118551736280124,675899,13665,416508645.00,156105,23.10,42.55,33.75
26-March-2021,602.00,605.05,580.85,585.65,592.109552385177574894,214135,3721,126791379.00,34887,16.29,24.20,-16.35
25-March-2021,614.90,618.45,591.55,595.45,605.011092255364822429,275778,4745,166848749.00,26439,9.59,26.90,-19.45
24-March-2021,629.50,636.25,606.60,608.80,619.990779630336713192,141426,2934,87682816.00,21580,15.26,29.65,-20.70
23-March-2021,626.50,643.90,622.00,633.05,635.749426047706136425,256990,5353,163381245.00,58572,22.79,21.90,6.55
22-March-2021,627.00,636.90,617.80,628.20,630.238030437860905601,307906,5867,194054071.00,64490,20.94,19.10,1.20
19-March-2021,600.00,629.00,586.55,625.65,609.028609691296091358,232229,3784,141434105.00,37756,16.26,42.45,25.65
18-March-2021,618.60,622.70,594.25,601.00,610.455559493222291131,225740,3950,137804238.00,24762,10.97,28.45,-17.60
17-March-2021,629.00,629.00,605.10,607.55,617.408364674942736758,141452,2468,87333648.00,41881,29.61,23.90,-21.45
16-March-2021,623.70,639.25,617.00,620.15,628.618587997197789367,244093,4595,153441397.00,28891,11.84,22.25,-3.55
15-March-2021,620.50,623.15,604.40,621.20,616.345883141346084184,552120,5719,340296889.00,69565,12.60,18.75,0.70
