Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,1792.00,1812.35,1775.00,1782.50,1800.859356203984204261,158777,9081,285935046.00,92633,58.34,37.35,-9.50
8-June-2021,1820.00,1820.00,1788.00,1796.45,1798.815714370652238539,134552,7620,242034252.00,91267,67.83,32.00,-23.55
7-June-2021,1824.00,1824.00,1807.70,1816.55,1816.316711475067212600,105263,3822,191190946.00,80422,76.40,16.30,-7.45
4-June-2021,1820.10,1824.80,1796.60,1810.20,1809.116452573144895277,186445,9624,337300717.00,136962,73.46,28.20,-9.90
3-June-2021,1798.70,1828.00,1793.00,1814.75,1813.516989380828579928,77313,4343,140208439.00,20139,26.05,35.00,16.05
2-June-2021,1796.00,1796.00,1770.10,1782.60,1778.102902686003604222,93224,6684,165761865.00,45155,48.44,25.90,-13.40
1-June-2021,1815.90,1824.00,1787.50,1797.70,1801.319900853972618655,154923,11449,279065883.00,69824,45.07,36.50,-18.20
31-May-2021,1803.00,1811.95,1784.80,1807.80,1803.288298347476552032,107472,8617,193803000.00,69364,64.54,27.15,4.80
28-May-2021,1785.00,1812.80,1776.60,1800.10,1798.719532456467330528,187790,12897,337781541.00,110974,59.09,36.20,15.10
27-May-2021,1744.90,1784.70,1725.65,1778.25,1759.994153337880299153,253649,6281,446420757.00,177475,69.97,59.05,33.35
26-May-2021,1763.00,1763.00,1737.50,1740.60,1747.158995441951917061,44756,2941,78195848.00,13661,30.52,25.50,-22.40
25-May-2021,1765.15,1771.50,1738.00,1750.40,1751.516356282126906547,118670,5878,207852446.00,66546,56.08,33.50,-14.75
24-May-2021,1765.00,1779.00,1742.00,1755.40,1756.296663851351351351,156288,7653,274488093.00,65989,42.22,37.00,-9.60
21-May-2021,1718.00,1762.80,1718.00,1757.55,1742.657472818977003304,248427,12435,432923168.00,115920,46.66,44.80,39.55
20-May-2021,1730.00,1735.95,1705.35,1708.55,1718.952365902991170407,205672,11979,353540371.00,148872,72.38,30.60,-21.45
19-May-2021,1757.00,1757.00,1728.00,1730.70,1736.840888942967894453,115058,5035,199837439.00,67627,58.78,29.00,-26.30
18-May-2021,1765.00,1770.15,1750.05,1754.60,1757.985815658693717463,126971,12947,223213217.00,58646,46.19,20.10,-10.40
17-May-2021,1718.00,1753.40,1712.55,1744.00,1735.497124765508183685,472831,10658,820596841.00,373311,78.95,40.85,26.00
14-May-2021,1736.30,1736.30,1701.20,1707.30,1710.904477590544521456,139517,6125,238700260.00,94628,67.83,35.10,-29.00
12-May-2021,1759.00,1759.00,1714.90,1718.55,1724.212338772985084714,192353,13765,331657416.00,110543,57.47,44.10,-40.45
11-May-2021,1780.00,1786.95,1753.35,1755.85,1768.709079118028534370,192750,11672,340918675.00,110187,57.17,33.60,-24.15
10-May-2021,1801.05,1812.70,1791.55,1810.20,1804.571530150704141894,101258,3918,182727304.00,64136,63.34,21.15,9.15
7-May-2021,1790.00,1812.35,1774.25,1779.95,1790.860007987298247664,102663,4276,183855061.00,54073,52.67,38.10,-10.05
6-May-2021,1782.00,1793.90,1764.30,1786.85,1777.262504281664273793,137213,5237,243863520.00,80019,58.32,29.60,4.85
5-May-2021,1741.95,1786.65,1722.00,1770.30,1756.264225171708458316,153021,6245,268745308.00,67135,43.87,64.65,28.35
4-May-2021,1746.20,1764.10,1725.40,1732.15,1747.078351421252583251,323236,6480,564718618.00,237851,73.58,38.70,-14.05
3-May-2021,1743.00,1758.60,1685.70,1724.30,1726.095629483213656887,268641,13562,463700056.00,91403,34.02,72.90,-18.70
30-April-2021,1786.50,1801.15,1740.00,1748.60,1781.326674483784247554,139864,8037,249143474.00,74778,53.46,61.15,-37.90
29-April-2021,1823.00,1845.00,1780.55,1807.10,1808.579416501632410150,297413,14740,537895030.00,116563,39.19,64.45,-15.90
28-April-2021,1761.00,1823.95,1755.00,1811.80,1799.740180235266713254,137376,5072,247241107.00,32849,23.91,68.95,50.80
27-April-2021,1749.00,1760.70,1724.85,1750.15,1739.597771581603976327,90737,4351,157845883.00,15707,17.31,35.85,1.15
26-April-2021,1735.00,1782.60,1734.00,1759.55,1768.592471239788040681,137951,6405,243979100.00,61761,44.77,48.60,24.55
23-April-2021,1732.00,1755.00,1720.25,1735.30,1742.219730338589825493,118964,5739,207261428.00,61454,51.66,34.75,3.30
22-April-2021,1695.00,1740.80,1668.75,1736.75,1706.451649172933325396,151197,6623,258010370.00,31725,20.98,72.05,41.75
20-April-2021,1735.00,1735.00,1687.00,1698.25,1716.600800353333244107,149434,8644,256518524.00,96203,64.38,48.00,-36.75
19-April-2021,1712.10,1720.20,1675.05,1701.05,1694.965157077088445859,295842,19040,501441882.00,206044,69.65,45.15,-11.05
16-April-2021,1785.00,1786.00,1760.10,1765.55,1775.446817473599169023,173290,9977,307667179.00,138592,79.98,25.90,-19.45
15-April-2021,1781.10,1808.80,1753.00,1772.70,1786.858044540080570719,327166,6136,584599199.00,265682,81.21,55.80,-8.40
13-April-2021,1730.00,1785.55,1725.00,1775.85,1751.568673472737419164,60926,3639,106716073.00,10280,16.87,60.55,45.85
12-April-2021,1749.00,1767.25,1723.30,1742.25,1738.404684871230749320,92724,5056,161191836.00,23493,25.34,43.95,-6.75
