Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,5781.00,5786.95,5626.25,5674.15,5722.507799861029337661,377058,14495,2157717346.00,289534,76.79,160.70,-106.85
8-June-2021,5765.00,5817.55,5720.05,5756.50,5771.343461491116490911,48742,5920,281306823.00,8467,17.37,97.50,-8.50
7-June-2021,5813.60,5847.35,5681.20,5728.20,5734.833626114881315606,162237,24121,930402203.00,56313,34.71,166.15,-85.40
4-June-2021,5914.00,6009.00,5890.30,5993.55,5959.400743003832525851,110632,12231,659300423.00,30186,27.28,118.70,79.55
3-June-2021,5844.45,5916.45,5780.00,5901.65,5865.055105562079129622,83458,7871,489485769.00,11572,13.87,136.45,57.20
2-June-2021,5767.00,5844.80,5740.00,5808.00,5794.018897174476367216,88373,11029,512034832.00,23029,26.06,104.80,41.00
1-June-2021,5625.00,5817.00,5625.00,5786.10,5739.293114334321342757,114034,11446,654474551.00,21196,18.59,192.00,161.10
31-May-2021,5617.00,5662.15,5562.15,5621.15,5614.915690565066289097,54383,5506,305355960.00,6987,12.85,100.00,4.15
28-May-2021,5742.00,5750.00,5591.85,5609.55,5658.927667900581702802,94550,10357,535051611.00,16948,17.92,158.15,-132.45
27-May-2021,5775.35,5782.95,5652.00,5683.30,5696.880325785038369191,84964,11685,484029740.00,17490,20.59,130.95,-92.05
26-May-2021,5615.00,5793.00,5586.05,5771.65,5724.114995090064342141,136458,16363,781101284.00,47625,34.90,206.95,156.65
25-May-2021,5655.00,5659.00,5582.10,5618.80,5624.760466616191357505,35661,3710,200584583.00,4245,11.90,76.90,-36.20
24-May-2021,5650.00,5686.40,5590.00,5602.25,5627.837651349928555313,53188,4831,299333429.00,6793,12.77,96.40,-47.75
21-May-2021,5640.00,5695.00,5589.05,5630.80,5642.996500334699533769,85151,9632,480506795.00,19624,23.05,105.95,-9.20
20-May-2021,5629.75,5656.50,5545.20,5590.00,5592.998564172514672362,55717,5625,311625101.00,10500,18.85,111.30,-39.75
19-May-2021,5693.00,5722.50,5594.45,5630.60,5651.588945328864683703,76384,7286,431690970.00,8761,11.47,128.05,-62.40
18-May-2021,5490.00,5702.45,5490.00,5687.20,5639.576753742295274434,132873,11271,749347482.00,25174,18.95,212.45,197.20
17-May-2021,5335.20,5489.90,5318.00,5424.40,5417.563362947578939271,104004,7889,563448260.00,10999,10.58,171.90,89.20
14-May-2021,5430.00,5430.25,5267.40,5327.95,5316.894430992736077481,66080,5758,351340384.00,8048,12.18,162.85,-102.05
12-May-2021,5427.70,5440.00,5330.00,5357.15,5386.488980661557399833,75549,8648,406943856.00,16966,22.46,110.00,-70.55
11-May-2021,5430.00,5457.75,5391.05,5426.55,5423.970500829550219694,54849,5015,297499358.00,9028,16.46,66.70,-3.45
10-May-2021,5550.00,5560.00,5446.10,5496.80,5495.114362398533647551,61104,7181,335773468.00,9581,15.68,113.90,-53.20
7-May-2021,5589.00,5612.00,5457.20,5491.05,5526.463313316997759993,95089,10019,525505870.00,14660,15.42,154.80,-97.95
6-May-2021,5568.95,5619.25,5474.45,5529.10,5535.656965553194049003,99748,10885,552170711.00,16371,16.41,144.80,-39.85
5-May-2021,5656.00,5708.90,5453.00,5517.00,5547.959840266072378021,176794,15454,980846012.00,15841,8.96,255.90,-139.00
4-May-2021,5604.45,5749.30,5560.00,5615.25,5675.111718096007851514,277144,25893,1572823162.00,69045,24.91,189.30,10.80
3-May-2021,5325.00,5598.50,5291.90,5552.95,5453.476138413089998411,214026,22790,1167185684.00,66033,30.85,306.60,227.95
30-April-2021,5348.00,5524.00,5330.00,5453.80,5451.622981243270810902,141176,11829,769638326.00,13933,9.87,194.00,105.80
29-April-2021,5350.00,5525.00,5327.60,5484.75,5441.475444312473439321,275313,26696,1498108929.00,38445,13.96,197.40,134.75
28-April-2021,4938.00,5307.00,4920.00,5279.15,5159.441279579316389132,540834,60692,2790401265.00,185140,34.23,387.00,341.15
27-April-2021,4750.00,4931.35,4747.00,4873.45,4812.434750710085839159,95411,8165,459159212.00,15285,16.02,184.35,123.45
26-April-2021,4685.00,4835.20,4662.05,4730.60,4769.426684690563868301,128718,9021,613911064.00,18456,14.34,173.15,45.60
23-April-2021,4622.00,4758.95,4610.00,4665.10,4695.054852822832012875,176454,14924,828461209.00,21953,12.44,148.95,43.10
22-April-2021,4549.00,4720.00,4505.00,4691.70,4626.550451446775498077,121166,7348,560580612.00,44036,36.34,215.00,142.70
20-April-2021,4588.00,4697.95,4560.05,4610.00,4632.774822522924796313,154527,10053,715888795.00,12481,8.08,137.90,22.00
19-April-2021,4478.00,4505.05,4361.60,4478.05,4435.339256010887645546,119034,10891,527956173.00,15725,13.21,143.45,0.05
16-April-2021,4669.95,4690.75,4581.05,4616.55,4643.763902794211340675,76909,8724,357147238.00,21905,28.48,109.70,-53.40
15-April-2021,4778.00,4778.00,4568.00,4660.25,4645.192814304130934364,107046,10150,497249310.00,15996,14.94,210.00,-117.75
13-April-2021,4525.00,4776.15,4515.00,4727.40,4656.908696096987058161,195490,23054,910379081.00,41466,21.21,261.15,202.40
12-April-2021,4712.10,4750.00,4400.35,4512.95,4539.298337030161294211,331816,56541,1506211817.00,100874,30.40,349.65,-199.15
9-April-2021,4997.75,5025.50,4845.00,4873.20,4908.431561759283644982,94925,10898,465932866.00,32425,34.16,180.50,-124.55
8-April-2021,5099.95,5113.00,5014.60,5030.35,5062.758694685560732306,51727,5361,261881319.00,13083,25.29,98.40,-69.60
7-April-2021,4989.95,5109.90,4942.00,5076.75,5040.781532730175625332,60128,6777,303092112.00,6750,11.23,167.90,86.80
6-April-2021,5045.00,5058.75,4953.95,4992.25,5008.669141120812338936,103996,11647,520881556.00,22084,21.24,104.80,-52.75
5-April-2021,5270.00,5270.00,4925.00,4963.70,5001.352204901083752511,136378,15344,682074411.00,39381,28.88,345.00,-306.30
1-April-2021,5216.00,5285.00,5162.10,5270.00,5214.589443965179201631,63755,5163,332456150.00,5783,9.07,122.90,54.00
31-March-2021,5192.00,5216.00,5124.00,5148.90,5159.938655288254867932,62809,5981,324090587.00,10056,16.01,92.00,-43.10
30-March-2021,5220.00,5259.40,5150.00,5192.70,5205.595522334337168704,83347,10236,433870770.00,18244,21.89,109.40,-27.30
26-March-2021,5190.00,5247.80,5136.00,5183.10,5202.444148129423660262,79120,7188,411617381.00,10344,13.07,111.80,-6.90
25-March-2021,5305.00,5305.00,5106.00,5121.75,5161.819887851307464967,88989,8095,459345190.00,14631,16.44,199.00,-183.25
24-March-2021,5368.05,5369.30,5260.00,5269.85,5297.167843137254901960,65025,6233,344448339.00,10856,16.70,109.30,-98.20
23-March-2021,5410.00,5445.65,5350.00,5377.25,5388.576435456133100478,75011,6164,404202507.00,11085,14.78,95.65,-32.75
22-March-2021,5458.90,5497.05,5336.75,5389.15,5400.831859356888335551,93172,9112,503206306.00,11933,12.81,160.30,-69.75
19-March-2021,5301.00,5478.95,5189.15,5451.90,5270.485706085185520112,254339,10647,1340490064.00,146317,57.53,289.80,150.90
18-March-2021,5409.10,5525.00,5306.45,5371.60,5444.501018762956007157,112882,8993,614586164.00,11323,10.03,218.55,-37.50
17-March-2021,5466.00,5466.00,5343.05,5358.70,5400.950542362943418352,68220,6690,368452846.00,10487,15.37,122.95,-107.30
16-March-2021,5499.00,5508.30,5419.00,5467.00,5467.433983008495752123,60030,5590,328210062.00,5169,8.61,89.30,-32.00
15-March-2021,5584.95,5584.95,5350.00,5438.70,5420.477105085715453300,97882,8516,530567140.00,14432,14.74,234.95,-146.25
12-March-2021,5595.00,5668.15,5522.00,5554.65,5601.061103798420458819,106360,9184,595728859.00,13910,13.08,146.15,-40.35
10-March-2021,5440.00,5562.00,5440.00,5541.15,5515.085005034466733792,77466,6362,427231575.00,12306,15.89,122.00,101.15
9-March-2021,5361.10,5445.40,5335.00,5414.70,5401.294148334927397617,92008,9096,496962272.00,22151,24.08,110.40,53.60
8-March-2021,5465.00,5494.30,5310.00,5323.40,5362.562456019523588507,66791,6382,358170909.00,11734,17.57,184.30,-141.60
5-March-2021,5425.00,5518.15,5400.95,5444.40,5450.128025807383511681,83077,9003,452780286.00,12993,15.64,117.20,19.40
4-March-2021,5425.00,5565.00,5400.00,5486.95,5490.594788906788800276,150218,9814,824786168.00,81898,54.52,165.00,61.95
3-March-2021,5379.50,5571.80,5339.45,5544.95,5448.713792166874898147,92045,7944,501526861.00,16036,17.42,232.35,165.45
2-March-2021,5308.00,5410.00,5262.00,5307.95,5326.407785515489602702,82281,7346,438262159.00,9369,11.39,148.00,-0.05
1-March-2021,5310.00,5370.00,5198.00,5266.70,5281.453030049033988516,95444,8973,504083003.00,9394,9.84,172.00,-43.30
26-February-2021,5350.10,5465.05,5197.05,5238.30,5301.706123939847480578,224496,28014,1190211818.00,77597,34.56,268.00,-111.80
25-February-2021,5608.00,5618.00,5513.45,5530.15,5565.697808056051731538,144438,6324,803898260.00,81011,56.09,104.55,-77.85
24-February-2021,5430.00,5921.75,5022.00,5553.00,5557.859177252411197365,340080,21334,1890116749.00,112277,33.01,899.75,123.00
23-February-2021,5401.00,5503.00,5350.10,5383.45,5426.401640540315183857,95944,9545,520630679.00,17651,18.40,152.90,-17.55
22-February-2021,5476.10,5538.60,5335.00,5379.60,5413.508281929242770494,116398,13894,630121537.00,23571,20.25,203.60,-96.50
19-February-2021,5564.95,5621.30,5425.00,5499.05,5532.719987090375245007,127037,13580,702860149.00,17472,13.75,196.30,-65.90
18-February-2021,5705.00,5708.35,5523.00,5565.45,5598.047677242459851155,63825,7334,357295393.00,12292,19.26,185.35,-139.55
17-February-2021,5725.00,5800.90,5671.35,5703.90,5738.832098992593955563,65217,6132,374269413.00,9301,14.26,129.55,-21.10
16-February-2021,5781.00,5820.50,5690.00,5758.70,5735.799119580965117574,125622,10932,720542557.00,19767,15.74,130.50,-22.30
15-February-2021,5595.00,5799.95,5595.00,5780.70,5725.943977504000497149,128734,10970,737123672.00,19394,15.07,204.95,185.70
12-February-2021,5570.00,5616.00,5533.15,5576.50,5570.171225847547597140,56516,4236,314803797.00,5643,9.98,82.85,6.50
11-February-2021,5470.00,5588.00,5455.40,5566.35,5551.373573213040369353,113279,10459,628854047.00,28710,25.34,132.60,96.35
10-February-2021,5420.00,5502.05,5397.50,5478.85,5444.991344865879766906,87347,7406,475603659.00,10853,12.43,104.55,58.85
9-February-2021,5530.00,5544.55,5380.00,5399.55,5437.990470914127423822,99275,12045,539856504.00,24332,24.51,164.55,-130.45
8-February-2021,5549.00,5665.00,5478.70,5500.10,5598.601895734597156398,147489,13932,825732195.00,27621,18.73,186.30,-48.90
5-February-2021,5539.00,5627.00,5472.00,5538.75,5543.314072744588110325,163806,13926,908028105.00,17920,10.94,155.00,-0.25
4-February-2021,5212.00,5539.75,5207.35,5502.00,5361.041131793463858295,377348,31700,2022978149.00,180440,47.82,332.40,290.00
3-February-2021,5218.00,5270.40,5143.00,5247.60,5227.947035184596258926,103767,8467,542488380.00,22609,21.79,127.40,29.60
2-February-2021,5114.00,5336.85,5099.00,5172.90,5233.880630772756409191,301091,34194,1575874353.00,102692,34.11,237.85,58.90
1-February-2021,4766.05,5077.90,4666.30,5059.90,4906.531041997209106722,261565,28103,1283376792.00,66685,25.49,411.60,293.85
29-January-2021,4867.00,4949.95,4708.50,4735.95,4865.787426017841000187,175887,20525,855828753.00,29685,16.88,241.45,-131.05
28-January-2021,4800.00,4910.80,4723.85,4812.90,4813.892633732826658871,171050,12004,823416335.00,80628,47.14,186.95,12.90
27-January-2021,4910.00,4942.60,4811.20,4844.95,4857.855750380584183030,91307,9743,443556235.00,11057,12.11,131.40,-65.05
25-January-2021,5086.15,5163.35,4873.65,4901.20,5013.763432614607364256,155182,14584,778045837.00,28845,18.59,289.70,-184.95
22-January-2021,5125.00,5134.50,4946.70,4967.45,5056.564812708522899605,105504,10400,533487814.00,17476,16.56,187.80,-157.55
21-January-2021,4985.00,5224.90,4985.00,5116.65,5158.216969675322355966,279970,22937,1444146005.00,51228,18.30,239.90,131.65
20-January-2021,4964.20,5031.00,4900.00,4981.15,4968.782745977394624405,165005,17785,819873997.00,43845,26.57,131.00,16.95
19-January-2021,4765.00,4994.00,4752.35,4960.85,4901.846083303751035380,169020,14551,828510025.00,22385,13.24,241.65,195.85
18-January-2021,4860.00,4871.00,4686.30,4713.60,4744.584446686258169217,113995,11917,540858904.00,21887,19.20,184.70,-146.40
15-January-2021,4879.90,5075.00,4843.10,4881.55,4883.099224485039940962,77239,8433,377165701.00,11852,15.34,231.90,1.65
14-January-2021,4882.00,4965.00,4836.30,4876.30,4904.647931000468545781,162204,9285,795553513.00,81781,50.42,128.70,-5.70
13-January-2021,5065.00,5074.00,4830.00,4899.50,4935.529700059920181795,176902,23816,873105075.00,42317,23.92,244.00,-165.50
12-January-2021,4984.00,5098.50,4952.00,5043.15,5024.915233228480886841,85517,8079,429715676.00,11960,13.99,146.50,59.15
11-January-2021,5124.00,5124.00,4961.00,4984.15,5004.630065243442368292,90124,8559,451037280.00,20160,22.37,163.00,-139.85
8-January-2021,5121.00,5135.25,5042.00,5080.70,5080.342029799062607789,591428,14484,3004656526.00,24043,4.07,93.25,-40.30
7-January-2021,5063.00,5129.50,5022.00,5082.80,5080.259276030644401112,108209,9518,549729776.00,9413,8.70,107.50,19.80
6-January-2021,5123.00,5167.45,4991.35,5027.95,5064.426010466540474334,188601,23092,955155810.00,44030,23.35,176.10,-95.05
5-January-2021,5220.00,5224.95,5062.20,5121.00,5122.227357545085575384,180601,21946,925079383.00,42485,23.52,162.75,-99.00
4-January-2021,5315.15,5320.25,5196.00,5216.30,5250.354160386579339197,109473,13207,574772021.00,23647,21.60,124.25,-98.85
1-January-2021,5317.00,5337.00,5252.35,5280.25,5303.492923567114964247,53982,6624,286293155.00,10655,19.74,84.65,-36.75
31-December-2020,5338.80,5372.75,5271.00,5296.00,5320.487321430284656196,104231,11134,554559714.00,15792,15.15,101.75,-42.80
30-December-2020,5209.00,5346.00,5176.65,5334.50,5280.621964170928705178,143124,11351,755783738.00,23853,16.67,169.35,125.50
29-December-2020,5239.00,5247.50,5167.00,5197.70,5208.943103533726520295,60531,5176,315302535.00,10485,17.32,80.50,-41.30
28-December-2020,5187.95,5244.80,5181.60,5203.60,5216.307978604858480053,44870,5146,234055739.00,6909,15.40,63.20,15.65
24-December-2020,5147.00,5216.40,5110.00,5183.65,5161.455289220611453997,69670,7619,359598590.00,8471,12.16,106.40,36.65
23-December-2020,5020.00,5168.50,4972.20,5088.55,5097.550961782957989430,145511,12855,741749738.00,26485,18.20,196.30,68.55
22-December-2020,5045.00,5131.00,4826.45,5014.25,4953.890762479429511793,273450,29584,1354641429.00,52625,19.24,304.55,-30.75
21-December-2020,5233.00,5233.05,4907.20,5042.60,5134.610072536415639558,525667,12927,2699095073.00,21438,4.08,325.85,-190.40
18-December-2020,5275.00,5285.00,5166.35,5252.05,5227.007942383446208403,109413,8835,571902620.00,12143,11.10,118.65,-22.95
17-December-2020,5143.50,5300.00,5103.35,5284.25,5232.455929623731423097,170171,13661,890412258.00,19064,11.20,196.65,140.75
16-December-2020,5195.00,5225.20,5120.00,5143.50,5168.337644316911180266,148458,13992,767281070.00,33276,22.41,105.20,-51.50
15-December-2020,4894.90,5152.85,4868.15,5128.05,5020.443016168129721588,212455,17494,1066618221.00,30178,14.20,284.70,233.15
