Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,704.60,713.30,693.85,697.95,704.100139280440327560,238368,5114,167834942.00,29414,12.34,19.45,-6.65
8-June-2021,714.70,714.70,692.10,707.40,700.857171171966059843,1564047,10918,1096173556.00,1164972,74.48,22.60,-7.30
7-June-2021,724.00,730.60,712.80,715.85,723.310901129854022957,410407,9081,296851857.00,98615,24.03,17.80,-8.15
4-June-2021,706.00,725.90,703.05,721.50,715.107440825745118901,361855,6572,258765203.00,52587,14.53,22.85,15.50
3-June-2021,708.00,720.90,702.75,713.85,712.255616575137294058,344516,6612,245383456.00,46127,13.39,18.15,5.85
2-June-2021,700.00,708.80,697.30,705.45,701.631863590672739231,402905,8172,282690986.00,97101,24.10,11.50,5.45
1-June-2021,719.00,719.00,687.80,694.35,696.354932451785373305,502752,10359,350093835.00,81282,16.17,31.20,-24.65
31-May-2021,693.00,714.30,685.90,710.55,701.703411138464884567,533341,8853,374247199.00,74232,13.92,28.40,17.55
28-May-2021,696.00,708.85,686.30,689.75,698.647437599975854887,662660,11809,462965711.00,57755,8.72,22.55,-6.25
27-May-2021,684.90,694.05,678.05,681.60,685.105236670832178864,530547,8927,363480528.00,53685,10.12,16.00,-3.30
26-May-2021,688.00,690.85,674.10,682.15,682.651377587486995449,866043,19179,591205447.00,152897,17.65,16.75,-5.85
25-May-2021,692.00,714.30,688.75,700.95,705.379379641447252796,825039,16569,581965498.00,63933,7.75,25.55,8.95
24-May-2021,697.00,699.00,672.30,681.40,680.966619109588956927,813759,17857,554142715.00,115243,14.16,26.70,-15.60
21-May-2021,701.00,706.40,694.95,697.80,699.734381991419472008,303944,6543,212680067.00,51779,17.04,11.45,-3.20
20-May-2021,702.70,703.40,683.45,694.30,695.241501633050552494,568874,8080,395504814.00,213069,37.45,19.95,-8.40
