Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,1702.95,1738.45,1697.90,1729.60,1719.724868169751714694,83251,6013,143168815.00,30466,36.60,40.55,26.65
8-June-2021,1685.00,1725.55,1674.25,1712.75,1706.471073953123062295,96764,6436,165124967.00,26023,26.89,51.30,27.75
7-June-2021,1690.00,1713.25,1677.00,1685.35,1693.571434666970089177,70309,4246,119073314.00,24296,34.56,36.25,-4.65
4-June-2021,1705.00,1710.00,1665.00,1674.95,1683.386988139618673666,135999,7709,228938947.00,19355,14.23,45.00,-30.05
3-June-2021,1602.00,1702.00,1591.40,1691.00,1666.870626044887436975,377433,18795,629131981.00,51278,13.59,110.60,89.00
2-June-2021,1586.00,1597.05,1564.60,1585.00,1576.217824273045556510,47699,3835,75184014.00,10872,22.79,32.45,-1.00
1-June-2021,1605.00,1612.00,1588.50,1591.50,1599.730147018636935016,36594,2312,58540525.00,8428,23.03,23.50,-13.50
31-May-2021,1572.00,1607.45,1570.00,1594.90,1594.398231552162849872,78600,5134,125319701.00,23697,30.15,37.45,22.90
28-May-2021,1609.00,1612.65,1570.40,1577.15,1586.499372811373020435,38266,2463,60708985.00,8512,22.24,42.25,-31.85
27-May-2021,1591.75,1606.40,1568.40,1594.10,1589.018650119596491836,57694,3241,91676842.00,8637,14.97,38.00,2.35
26-May-2021,1577.00,1614.00,1576.95,1582.65,1599.742072936660268714,234450,12799,375059529.00,50041,21.34,37.05,5.65
25-May-2021,1544.50,1574.85,1535.35,1569.30,1562.402343859780602733,106747,5293,166781763.00,20016,18.75,39.50,24.80
24-May-2021,1538.35,1538.35,1505.50,1520.40,1516.129492277813742717,54065,4081,81969541.00,15599,28.85,32.85,-17.95
21-May-2021,1553.00,1553.60,1535.25,1539.15,1543.726791195299482592,57015,2381,88015583.00,10870,19.07,18.35,-13.85
20-May-2021,1522.00,1566.00,1522.00,1531.35,1548.460108926739581836,201787,9893,312459120.00,31728,15.72,44.00,9.35
19-May-2021,1530.00,1553.85,1516.85,1521.85,1536.448722324132929482,93764,5325,144063578.00,34297,36.58,37.00,-8.15
18-May-2021,1475.80,1545.80,1475.80,1539.65,1519.258380159580974033,138989,6287,211160203.00,26117,18.79,70.00,63.85
17-May-2021,1456.00,1470.75,1438.00,1467.85,1456.683164354322305229,59968,3730,87354376.00,20999,35.02,32.75,11.85
14-May-2021,1464.90,1478.00,1433.10,1456.00,1450.372024462483545414,72928,3161,105772731.00,10417,14.28,44.90,-8.90
12-May-2021,1435.05,1459.80,1426.00,1454.80,1443.200383713493924536,60983,3945,88010689.00,24009,39.37,33.80,19.75
11-May-2021,1449.00,1456.85,1432.50,1435.95,1440.251345024436321820,48698,2291,70137360.00,26834,55.10,24.35,-13.05
10-May-2021,1449.15,1469.50,1445.30,1454.40,1456.714899811611577324,58390,4009,85057583.00,31018,53.12,24.20,5.25
7-May-2021,1447.90,1459.15,1440.25,1448.70,1450.903969703117603300,29574,1547,42909034.00,9609,32.49,18.90,0.80
6-May-2021,1431.60,1448.70,1431.60,1443.55,1440.064716759119179694,41643,2062,59968615.00,8509,20.43,17.10,11.95
5-May-2021,1409.75,1431.95,1404.00,1427.65,1418.355057880841164632,108326,5642,153644730.00,32558,30.06,27.95,17.90
4-May-2021,1429.60,1439.95,1400.65,1403.80,1410.429313386844263313,80482,4501,113514172.00,26255,32.62,39.30,-25.80
3-May-2021,1475.00,1477.85,1416.60,1423.60,1434.385706557672657330,183007,14822,262502625.00,76053,41.56,61.25,-51.40
30-April-2021,1510.00,1516.45,1471.60,1491.95,1493.949464107247475617,145085,8312,216749658.00,12861,8.86,44.85,-18.05
29-April-2021,1519.80,1527.35,1497.10,1506.30,1508.186940239267069492,107077,6318,161492133.00,47915,44.75,30.25,-13.50
28-April-2021,1503.00,1514.90,1491.45,1508.25,1504.059587471352177234,71995,3027,108284770.00,24940,34.64,23.45,5.25
27-April-2021,1481.15,1503.00,1481.15,1495.15,1494.843598839084166397,43414,2491,64897140.00,13938,32.10,21.85,14.00
