Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,6790.00,6790.00,6684.00,6724.70,6733.359003558718861209,7025,1513,47301847.00,1458,20.75,106.00,-65.30
8-June-2021,6880.00,6881.70,6727.65,6790.30,6790.299975502204801567,8164,1554,55436009.00,1637,20.05,154.05,-89.70
7-June-2021,6670.00,6903.55,6666.75,6848.65,6675.981615274028869850,272672,3382,1820353259.00,255831,93.82,236.80,178.65
4-June-2021,6660.00,6682.00,6618.00,6663.10,6656.584387617765814266,7430,1035,49458422.00,1525,20.52,64.00,3.10
3-June-2021,6649.95,6655.00,6578.05,6635.80,6623.050503235082674335,5564,1074,36850653.00,1206,21.68,76.95,-14.15
2-June-2021,6630.00,6670.00,6552.45,6592.90,6613.695940756993965990,18230,2565,120567677.00,2881,15.80,117.55,-37.10
1-June-2021,6702.05,6723.10,6560.00,6600.75,6623.014407863731232747,14853,3441,98371633.00,4847,32.63,163.10,-101.30
31-May-2021,6625.00,6720.90,6591.00,6710.10,6657.694052251250694830,8995,1516,59885958.00,1872,20.81,129.90,85.10
28-May-2021,6725.00,6727.40,6579.35,6597.00,6651.999475616151022548,17163,2873,114168267.00,3334,19.43,148.05,-128.00
27-May-2021,6600.00,6722.50,6585.35,6679.90,6672.319545823195458231,20961,3121,139858490.00,3976,18.97,137.15,79.90
26-May-2021,6580.00,6619.35,6528.00,6579.75,6569.375924140147862423,6222,1085,40874657.00,2489,40.00,91.35,-0.25
25-May-2021,6625.10,6631.50,6534.05,6556.05,6580.848195030473511486,10665,2044,70184746.00,2395,22.46,97.45,-69.05
24-May-2021,6610.00,6670.45,6543.00,6571.35,6578.817106033977738722,8535,1832,56150204.00,2254,26.41,127.45,-38.65
21-May-2021,6625.65,6676.05,6591.10,6638.05,6640.615324242126949867,10193,1687,67687792.00,1323,12.98,84.95,12.40
20-May-2021,6629.00,6630.00,6522.00,6570.75,6586.697715656618337331,9587,1658,63146671.00,916,9.55,108.00,-58.25
19-May-2021,6633.90,6750.00,6523.85,6558.90,6665.343544269783689372,14886,2709,99220304.00,2303,15.47,226.15,-75.00
18-May-2021,6570.00,6670.35,6570.00,6652.85,6618.541403550577862504,16786,2070,111098836.00,3909,23.29,100.35,82.85
